"No.","Time","Source","Destination","Protocol","Length","Text item","Resolved IP","DNS Query"
"9163","82.885568","172.16.1.4","172.16.1.66","DNS","220","â\234\223","52.191.219.104","Standard query response 0x1eaa A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-eus-1.eastus.cloudapp.azure.com A 52.191.219.104"
"9189","83.180258","172.16.1.4","172.16.1.66","DNS","332","â\234\223","23.198.7.177,23.198.7.169,23.198.7.168,23.198.7.176,23.198.7.174,23.198.7.170,23.198.7.172,23.198.7.175,23.198.7.186","Standard query response 0xee74 A th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net A 23.198.7.177 A 23.198.7.169 A 23.198.7.168 A 23.198.7.176 A 23.198.7.174 A 23.198.7.170 A 23.198.7.172 A 23.198.7.175 A 23.198.7.186"
"9355","84.833439","172.16.1.4","172.16.1.66","DNS","212","â\234\223","172.16.1.4","Standard query response 0x9a0c SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online SRV 0 100 389 wireshark-ws-dc.wiresharkworkshop.online A 172.16.1.4"
"9501","85.305380","172.16.1.4","172.16.1.66","DNS","328","â\234\223","40.126.29.14,40.126.29.8,20.190.157.9,40.126.29.7,40.126.29.11,40.126.29.5,40.126.29.13,20.190.157.11","Standard query response 0xc259 A login.microsoftonline.com CNAME login.mso.msidentity.com CNAME ak.privatelink.msidentity.com CNAME www.tm.ak.prd.aadg.trafficmanager.net A 40.126.29.14 A 40.126.29.8 A 20.190.157.9 A 40.126.29.7 A 40.126.29.11 A 40.126.29.5 A 40.126.29.13 A 20.190.157.11"
"9540","96.726368","172.16.1.4","172.16.1.66","DNS","196","â\234\223","23.48.203.203,23.48.203.210,23.48.203.205","Standard query response 0xf769 A assets.msn.com CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net A 23.48.203.203 A 23.48.203.210 A 23.48.203.205"
"9731","112.129122","172.16.1.4","172.16.1.66","DNS","229","â\234\223","","Standard query response 0xab3d No such name SRV _ldap._tcp.Default-First-Site-Name._sites.WIRESHARK-WS-DC.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"9733","112.129897","172.16.1.4","172.16.1.66","DNS","198","â\234\223","","Standard query response 0xbe5f No such name SRV _ldap._tcp.WIRESHARK-WS-DC.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"9779","112.941257","172.16.1.4","172.16.1.66","DNS","172","â\234\223","20.166.2.191","Standard query response 0x8f6f A msedge.api.cdp.microsoft.com CNAME api.cdp.microsoft.com CNAME glb.api.prod.dcat.dsp.trafficmanager.net A 20.166.2.191"
"9808","113.991519","172.16.1.4","172.16.1.66","DNS","241","â\234\223","13.107.42.16","Standard query response 0xbaa4 A config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net A 13.107.42.16"
"9851","116.981341","172.16.1.4","172.16.1.66","DNS","215","â\234\223","23.96.180.189","Standard query response 0x61ef A fd.api.iris.microsoft.com CNAME fd-api-iris.trafficmanager.net CNAME iris-de-prod-azsc-v2-ncus.northcentralus.cloudapp.azure.com A 23.96.180.189"
"10080","203.174180","172.16.1.4","172.16.1.66","DNS","235","â\234\223","52.109.0.91","Standard query response 0x3001 A officeclient.microsoft.com CNAME config.officeapps.live.com CNAME prod.configsvc1.live.com.akadns.net CNAME us.configsvc1.live.com.akadns.net CNAME wus-azsc-config.officeapps.live.com A 52.109.0.91"
"10132","203.705220","172.16.1.4","172.16.1.66","DNS","229","â\234\223","52.113.194.132","Standard query response 0xa9cb A ecs.office.com CNAME ecs.office.trafficmanager.net CNAME s-0005-office.config.skype.com CNAME ecs-office.s-0005.s-msedge.net CNAME s-0005.s-msedge.net A 52.113.194.132"
"10134","203.741187","172.16.1.4","172.16.1.66","DNS","263","â\234\223","52.109.20.47","Standard query response 0xb598 A odc.officeapps.live.com CNAME prod.odcsm1.live.com.akadns.net CNAME us2.odcsm1.live.com.akadns.net CNAME scus-azsc-000.odc.officeapps.live.com CNAME osiprod-scus-bronze-azsc-000.southcentralus.cloudapp.azure.com A 52.109.20.47"
"10278","204.326154","172.16.1.4","172.16.1.66","DNS","267","â\234\223","40.97.199.114,40.99.169.130,52.96.57.2,52.96.121.130","Standard query response 0xbe7b A autodiscover-s.outlook.com CNAME outlook.office365.com CNAME ooc-g2.tm-4.office.com CNAME outlook.ms-acdc.office.com CNAME SAT-efz.ms-acdc.office.com A 40.97.199.114 A 40.99.169.130 A 52.96.57.2 A 52.96.121.130"
"10297","204.624139","172.16.1.4","172.16.1.66","DNS","200","â\234\223","172.16.1.4","Standard query response 0x58de SRV _gc._tcp.Default-First-Site-Name._sites.wiresharkworkshop.online SRV 0 100 3268 wireshark-ws-dc.wiresharkworkshop.online A 172.16.1.4"
"10335","206.752012","172.16.1.4","172.16.1.66","DNS","184","â\234\223","","Standard query response 0xda4a No such name A autodiscover.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"10345","210.526036","172.16.1.4","172.16.1.66","DNS","212","â\234\223","20.189.173.10","Standard query response 0x4f66 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus09.westus.cloudapp.azure.com A 20.189.173.10"
"10420","216.615842","172.16.1.4","172.16.1.66","DNS","245","â\234\223","23.221.22.68,23.221.22.87","Standard query response 0x73b0 A metadata.templates.cdn.office.net CNAME templatesmetadata.office.net CNAME templatesmetadata.office.net.edgekey.net CNAME e26769.dscb.akamaiedge.net A 23.221.22.68 A 23.221.22.87"
"10449","227.051881","172.16.1.4","172.16.1.66","DNS","226","â\234\223","20.189.173.26","Standard query response 0x8af3 A v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdwus19.westus.cloudapp.azure.com A 20.189.173.26"
"10767","326.667051","172.16.1.4","172.16.1.66","DNS","176","â\234\223","","Standard query response 0x352b No such name A wpad.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"10770","326.736028","172.16.1.4","172.16.1.66","DNS","150","â\234\223","204.79.197.203","Standard query response 0xf848 A windows.msn.com CNAME www-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net A 204.79.197.203"
"10773","326.759925","172.16.1.4","172.16.1.66","DNS","134","â\234\223","","Standard query response 0xecae Unknown (65) windows.msn.com CNAME www-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net"
"10774","326.760124","172.16.1.66","172.16.1.4","ICMP","162","â\234\223","","Destination unreachable (Port unreachable)"
