"No.","Time","Source","Destination","Protocol","Length","Name","DNS Query"
"10296","204.623843","172.16.1.66","172.16.1.4","DNS","124","_gc._tcp.Default-First-Site-Name._sites.wiresharkworkshop.online","Standard query 0x58de SRV _gc._tcp.Default-First-Site-Name._sites.wiresharkworkshop.online"
"10334","206.751699","172.16.1.66","172.16.1.4","DNS","97","autodiscover.wiresharkworkshop.online","Standard query 0xda4a A autodiscover.wiresharkworkshop.online"
"10336","207.385121","172.16.1.66","172.16.1.4","DNS","92","mobile.events.data.microsoft.com","Standard query 0x4f66 A mobile.events.data.microsoft.com"
"10337","208.383991","172.16.1.66","172.16.1.4","DNS","92","mobile.events.data.microsoft.com","Standard query 0x4f66 A mobile.events.data.microsoft.com"
"10338","209.384226","172.16.1.66","172.16.1.4","DNS","92","mobile.events.data.microsoft.com","Standard query 0x4f66 A mobile.events.data.microsoft.com"
"10419","216.573022","172.16.1.66","172.16.1.4","DNS","93","metadata.templates.cdn.office.net","Standard query 0x73b0 A metadata.templates.cdn.office.net"
"10448","226.993024","172.16.1.66","172.16.1.4","DNS","89","v10.events.data.microsoft.com","Standard query 0x8af3 A v10.events.data.microsoft.com"
"10766","326.666572","172.16.1.66","172.16.1.4","DNS","89","wpad.wiresharkworkshop.online","Standard query 0x352b A wpad.wiresharkworkshop.online"
"10768","326.670310","172.16.1.66","172.16.1.4","DNS","75","windows.msn.com","Standard query 0xf848 A windows.msn.com"
"10769","326.670533","172.16.1.66","172.16.1.4","DNS","75","windows.msn.com","Standard query 0xecae Unknown (65) windows.msn.com"
"10813","327.434026","172.16.1.66","172.16.1.4","DNS","71","www.msn.com","Standard query 0xc005 A www.msn.com"
"10814","327.434148","172.16.1.66","172.16.1.4","DNS","71","www.msn.com","Standard query 0x0073 Unknown (65) www.msn.com"
"10824","327.708910","172.16.1.66","172.16.1.4","DNS","142","_ldap._tcp.Default-First-Site-Name._sites.WIRESHARK-WS-DC.wiresharkworkshop.online","Standard query 0x3d3c SRV _ldap._tcp.Default-First-Site-Name._sites.WIRESHARK-WS-DC.wiresharkworkshop.online"
"10826","327.709575","172.16.1.66","172.16.1.4","DNS","111","_ldap._tcp.WIRESHARK-WS-DC.wiresharkworkshop.online","Standard query 0x2b8b SRV _ldap._tcp.WIRESHARK-WS-DC.wiresharkworkshop.online"
"10882","328.123414","172.16.1.66","172.16.1.4","DNS","71","api.msn.com","Standard query 0x45ef A api.msn.com"
"10883","328.123487","172.16.1.66","172.16.1.4","DNS","71","api.msn.com","Standard query 0x0ab6 Unknown (65) api.msn.com"
"10884","328.124573","172.16.1.66","172.16.1.4","DNS","74","assets.msn.com","Standard query 0x473f A assets.msn.com"
"10885","328.124746","172.16.1.66","172.16.1.4","DNS","74","assets.msn.com","Standard query 0xa08a Unknown (65) assets.msn.com"
"10909","328.507440","172.16.1.66","172.16.1.4","DNS","72","srtb.msn.com","Standard query 0x1e0e A srtb.msn.com"
"10910","328.507742","172.16.1.66","172.16.1.4","DNS","72","srtb.msn.com","Standard query 0x3a50 Unknown (65) srtb.msn.com"
"10949","328.633735","172.16.1.66","172.16.1.4","DNS","71","th.bing.com","Standard query 0x4ce0 A th.bing.com"
"10950","328.634081","172.16.1.66","172.16.1.4","DNS","71","th.bing.com","Standard query 0xefe0 Unknown (65) th.bing.com"
"10951","328.709560","172.16.1.66","172.16.1.4","DNS","87","img-s-msn-com.akamaized.net","Standard query 0xa4fd A img-s-msn-com.akamaized.net"
"10952","328.709759","172.16.1.66","172.16.1.4","DNS","87","img-s-msn-com.akamaized.net","Standard query 0xd4c1 Unknown (65) img-s-msn-com.akamaized.net"
"11000","328.959109","172.16.1.66","172.16.1.4","DNS","84","ecn.dev.virtualearth.net","Standard query 0x1711 A ecn.dev.virtualearth.net"
"11001","328.959267","172.16.1.66","172.16.1.4","DNS","84","ecn.dev.virtualearth.net","Standard query 0xf261 Unknown (65) ecn.dev.virtualearth.net"
"11215","334.675364","172.16.1.66","172.16.1.4","DNS","89","wpad.wiresharkworkshop.online","Standard query 0x5ad7 A wpad.wiresharkworkshop.online"
"11231","340.379114","172.16.1.66","172.16.1.4","DNS","88","javadl-esd-secure.oracle.com","Standard query 0xf207 A javadl-esd-secure.oracle.com"
"11232","340.469260","172.16.1.66","172.16.1.4","DNS","88","javadl-esd-secure.oracle.com","Standard query 0xf207 A javadl-esd-secure.oracle.com"
"11474","510.963009","172.16.1.66","172.16.1.4","DNS","83","pti.store.microsoft.com","Standard query 0xff9d A pti.store.microsoft.com"
"11475","511.050605","172.16.1.66","172.16.1.4","DNS","83","pti.store.microsoft.com","Standard query 0xff9d A pti.store.microsoft.com"
