"No.","Time","Source","Protocol","Length","Info","TLS SNI","Destination"
"10789","326.970546","172.16.1.66","TLSv1.3","657","Change Cipher Spec, Client Hello","windows.msn.com","204.79.197.203"
"10791","326.971663","172.16.1.66","TLSv1.3","721","Change Cipher Spec, Client Hello","windows.msn.com","204.79.197.203"
"10821","327.510490","172.16.1.66","TLSv1.3","379","Client Hello","www.msn.com","204.79.197.203"
"10848","327.728557","172.16.1.66","TLSv1.3","685","Change Cipher Spec, Client Hello","www.msn.com","204.79.197.203"
"10896","328.276278","172.16.1.66","TLSv1.3","379","Client Hello","api.msn.com","204.79.197.203"
"10902","328.297768","172.16.1.66","TLSv1.3","318","Client Hello","assets.msn.com","23.53.11.166"
"10906","328.468540","172.16.1.66","TLSv1.3","685","Change Cipher Spec, Client Hello","api.msn.com","204.79.197.203"
"10940","328.622492","172.16.1.66","TLSv1.3","380","Client Hello","srtb.msn.com","204.79.197.203"
"10960","328.775196","172.16.1.66","TLSv1.3","686","Change Cipher Spec, Client Hello","srtb.msn.com","204.79.197.203"
"10983","328.847320","172.16.1.66","TLSv1.3","427","Client Hello","img-s-msn-com.akamaized.net","23.215.55.133"
"10987","328.847688","172.16.1.66","TLSv1.3","411","Client Hello","th.bing.com","23.198.7.168"
"11053","329.118086","172.16.1.66","TLSv1.3","360","Client Hello","ecn.dev.virtualearth.net","23.46.192.165"
"11237","340.555476","172.16.1.66","TLSv1.2","338","Client Hello","javadl-esd-secure.oracle.com","23.194.164.136"
